specimen_id;genus;Section name;latitude;longitude;height (cm);width (cm);growth (mm)
VD5;Pavona?;V;40,375;18,419444;34;51;2,73
VD5;Pavona?;V;40,375;18,419444;34;51;4,77
VD5;Pavona?;V;40,375;18,419444;34;51;3,85
VD6a;Actinacis;V;40,0375;18,418056;32;121;1,02
VD6a;Actinacis;V;40,0375;18,418056;32;121;2,39
VD6a;Actinacis;V;40,0375;18,418056;32;121;2,22
VD6a;Actinacis;V;40,0375;18,418056;32;121;2,19
VD6a;Actinacis;V;40,0375;18,418056;32;121;1,91
VD6a;Actinacis;V;40,0375;18,418056;32;121;2,25
VD6a;Actinacis;V;40,0375;18,418056;32;121;2,45
VD6a;Actinacis;V;40,0375;18,418056;32;121;2,38
VD6a;Actinacis;V;40,0375;18,418056;32;121;1,73
VD6a;Actinacis;V;40,0375;18,418056;32;121;2,5
VD6a;Actinacis;V;40,0375;18,418056;32;121;1,78
VD6a;Actinacis;V;40,0375;18,418056;32;121;1,1
VD6a;Actinacis;V;40,0375;18,418056;32;121;0,83
VD6a;Actinacis;V;40,0375;18,418056;32;121;1,52
VD6b;Actinacis;V;40,0375;18,418056;32;121;2,08
VD6b;Actinacis;V;40,0375;18,418056;32;121;1,69
VD6b;Actinacis;V;40,0375;18,418056;32;121;1,59
VD6b;Actinacis;V;40,0375;18,418056;32;121;1,67
VD6b;Actinacis;V;40,0375;18,418056;32;121;1,61
VD6b;Actinacis;V;40,0375;18,418056;32;121;2,78
VD6b;Actinacis;V;40,0375;18,418056;32;121;1,76
VD6b;Actinacis;V;40,0375;18,418056;32;121;1,43
VD6b;Actinacis;V;40,0375;18,418056;32;121;1,64
VD6b;Actinacis;V;40,0375;18,418056;32;121;1,54
VD6b;Actinacis;V;40,0375;18,418056;32;121;2,09
VD6b;Actinacis;V;40,0375;18,418056;32;121;3,89
VD6b;Actinacis;V;40,0375;18,418056;32;121;3,49
VD6b;Actinacis;V;40,0375;18,418056;32;121;1,38
VD6b;Actinacis;V;40,0375;18,418056;32;121;1,52
VD6b;Actinacis;V;40,0375;18,418056;32;121;2,08
