d.por.trait_name;d.por.specie_name;d.por.value;d.por.standard_unit;d.por.value_type;d.por.location_name;d.por.methodology_name;;
Skeletal density;Porites astreoides;1,61;g cm-3;mean;Cheeca Patch, Florida;;;
Skeletal density;Porites astreoides;1,58;g cm-3;mean;Conch Reef, Florida;;;
Skeletal density;Porites lutea;1,35;g cm-3;mean;Gulf of Aqaba, Red Sea;X-radiography (densitometer);;
Skeletal density;Porites nodifera;1,35;g cm-3;mean;Eilat, Israel;X-radiography (densitometer);;
Skeletal density;Porites lutea;1,35;g cm-3;mean;Gulf of Aqaba, Red Sea;X-radiography (densitometer);;
Skeletal density;Porites astreoides;1,48;g cm-3;mean;Carrie Bow Cay, Belize;X-radiography (densitometer);;
Skeletal density;Porites solida;1,19;g cm-3;mean;Pandora Reef;X-radiography (densitometer);;
Skeletal density;Porites furcata;1,05;g cm-3;mean;St. Croix;Archimedes principle;;
Skeletal density;Porites cylindrica;1,46;g cm-3;mean;Maldives;Archimedes principle;;
Skeletal density;Porites lobata;1,31;g cm-3;mean;Maldives;Archimedes principle;;
Skeletal density;Porites lutea;1,04;g cm-3;mean;Ko Phuket, Thailand;Archimedes principle;;
Skeletal density;Porites lutea;1,11;g cm-3;mean;Ko Phuket, Thailand;Archimedes principle;;
Skeletal density;Porites lutea;1,03;g cm-3;mean;Ko Phuket, Thailand;Archimedes principle;;
Skeletal density;Porites lutea;1,07;g cm-3;mean;Ko Phuket, Thailand;Archimedes principle;;
Skeletal density;Porites lutea;1,15;g cm-3;mean;Ko Phuket, Thailand;Archimedes principle;;
Skeletal density;Porites lutea;1,24;g cm-3;mean;Ko Phuket, Thailand;Archimedes principle;;
Skeletal density;Porites lutea;1,2;g cm-3;mean;Ko Phuket, Thailand;Archimedes principle;;
Skeletal density;Porites lutea;1,2;g cm-3;mean;Ko Phuket, Thailand;Archimedes principle;;
Skeletal density;Porites lutea;1,23;g cm-3;mean;Ko Phuket, Thailand;Archimedes principle;;
Skeletal density;Porites lutea;1,29;g cm-3;mean;Ko Phuket, Thailand;Archimedes principle;;
Skeletal density;Porites lutea;1,51;g cm-3;mean;Ko Phuket, Thailand;Archimedes principle;;
