time;mean growth;genus;specimen_id;reef section
modern;10,2;;;
modern;7,1;;;
modern;9,3;;;
modern;8;;;
modern;8,3;;;
modern;7,6;;;
modern;7,3;;;
modern;7,1;;;
modern;8,2;;;
modern;9,7;;;
modern;10,1;;;
modern;9;;;
modern;8,5;;;
modern;7,7;;;
modern;6,8;;;
modern;10,1;;;
modern;9,9;;;
modern;9,2;;;
modern;12;;;
modern;9,1;;;
modern;7,6;;;
modern;9,9;;;
modern;8,4;;;
modern;10;;;
modern;8,3;;;
modern;7,3;;;
modern;8;;;
modern;9;;;
modern;9,2;;;
modern;8,4;;;
modern;11,4;;;
modern;10,5;;;
modern;10,8;;;
modern;10,1;;;
modern;7,3;;;
modern;9,4;;;
modern;9,5;;;
modern;10,4;;;
modern;8,9;;;
modern;8,9;;;
modern;7,5;;;
modern;7;;;
modern;7,3;;;
modern;9,5;;;
modern;8;;;
modern;9;;;
modern;9,1;;;
modern;10;;;
modern;11,9;;;
modern;9,9;;;
modern;13,3;;;
modern;9,9;;;
modern;11,1;;;
modern;10,7;;;
modern;12,5;;;
modern;9,6;;;
modern;10,7;;;
modern;15,4;;;
modern;10,9;;;
modern;9,2;;;
modern;8,4;;;
modern;8,9;;;
modern;10;;;
modern;8,4;;;
modern;10,8;;;
modern;10,5;;;
modern;7,5;;;
modern;10,6;;;
modern;9,7;;;
modern;9,3;;;
modern;8,7;;;
modern;9,5;;;
modern;7;;;
modern;8,3;;;
modern;7,3;;;
modern;8,7;;;
modern;7,5;;;
modern;8,5;;;
modern;8,5;;;
modern;10,2;;;
modern;8,8;;;
modern;7;;;
modern;7;;;
modern;6,6;;;
modern;6;;;
modern;6,5;;;
modern;8,2;;;
modern;7,2;;;
modern;8,7;;;
modern;8,2;;;
modern;7,6;;;
modern;9,9;;;
modern;8,4;;;
modern;10;;;
modern;8,3;;;
modern;7,3;;;
modern;8;;;
modern;9;;;
modern;9,2;;;
modern;8,4;;;
modern;11,4;;;
modern;10,5;;;
modern;10,8;;;
modern;10,1;;;
modern;7,3;;;
modern;9,4;;;
modern;9,5;;;
modern;10,4;;;
modern;8,9;;;
modern;8,9;;;
modern;7,5;;;
modern;7;;;
modern;7,3;;;
