time;;specimen_id;genus;Section name;latitude;longitude;height (cm);width (cm);growth mm;comments;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;3,38;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;3,28;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;3,6;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;4,09;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,12;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;6,73;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,86;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;1,77;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;1,24;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,09;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;1,61;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,26;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;3,09;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;1,78;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,24;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,12;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;1,94;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,31;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;1,96;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;1,79;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;1,72;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;3,16;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,88;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;3,18;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,68;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,06;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;3,79;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,98;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,87;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;3,67;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;7,01;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;4,14;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;6,63;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,66;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;1,36;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,99;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;1,89;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,23;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;1,94;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,73;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;1,17;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;3,18;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;5,09;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;3,47;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;6,7;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;4,34;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;3,19;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,18;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;1,2;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;3,11;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,41;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;3,72;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,67;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;3,21;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;5,26;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;3,09;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;5,84;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;3,48;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;5,26;left;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;6,3;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;5,29;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;5,84;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;3,48;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;3,19;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;1,77;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;1,92;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;1,66;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;3,55;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;4,1;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;3,36;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;3,62;right;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;1,49;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;3,15;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;4,24;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;1,73;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;2,12;;;;
Oligocene;Oligocene reef front;SC3;Poriticae;SC;40,040278;18,445833;30;48;3,1;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;3,48;left;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;3,26;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,12;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;1,77;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,09;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;1,18;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,86;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;3,55;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;4,38;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;3,03;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;3,99;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,56;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,58;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;1,53;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;1,9;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,29;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,04;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;3,19;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;4,18;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;3,25;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;4,02;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,3;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;1,38;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;3,66;;;;
