specimen id;genus;Section name;latitude;longitude;height cm;width cm;growth mm
SC3b;Poriticae;SC;40,040278;18,445833;30;48;3,15
SC3b;Poriticae;SC;40,040278;18,445833;30;48;4,24
SC3b;Poriticae;SC;40,040278;18,445833;30;48;1,73
SC3b;Poriticae;SC;40,040278;18,445833;30;48;2,12
SC3b;Poriticae;SC;40,040278;18,445833;30;48;3,1
SC4a;Porites;SC;40,040278;18,447222;19;70;3,48
SC4a;Porites;SC;40,040278;18,447222;19;70;3,26
SC4a;Porites;SC;40,040278;18,447222;19;70;2,12
SC4a;Porites;SC;40,040278;18,447222;19;70;1,77
SC4a;Porites;SC;40,040278;18,447222;19;70;2,09
SC4a;Porites;SC;40,040278;18,447222;19;70;1,18
SC4a;Porites;SC;40,040278;18,447222;19;70;2,86
SC4a;Porites;SC;40,040278;18,447222;19;70;3,55
SC4a;Porites;SC;40,040278;18,447222;19;70;4,38
SC4a;Porites;SC;40,040278;18,447222;19;70;3,03
SC4a;Porites;SC;40,040278;18,447222;19;70;3,99
SC4a;Porites;SC;40,040278;18,447222;19;70;2,56
SC4a;Porites;SC;40,040278;18,447222;19;70;2,58
SC4a;Porites;SC;40,040278;18,447222;19;70;1,53
SC4a;Porites;SC;40,040278;18,447222;19;70;1,9
SC4a;Porites;SC;40,040278;18,447222;19;70;2,29
SC4a;Porites;SC;40,040278;18,447222;19;70;2,04
SC4a;Porites;SC;40,040278;18,447222;19;70;3,19
SC4a;Porites;SC;40,040278;18,447222;19;70;4,18
SC4a;Porites;SC;40,040278;18,447222;19;70;3,25
SC4a;Porites;SC;40,040278;18,447222;19;70;4,02
SC4a;Porites;SC;40,040278;18,447222;19;70;2,3
SC4a;Porites;SC;40,040278;18,447222;19;70;1,38
SC4a;Porites;SC;40,040278;18,447222;19;70;3,66
SC4a;Porites;SC;40,040278;18,447222;19;70;2,31
SC4a;Porites;SC;40,040278;18,447222;19;70;2,12
SC4a;Porites;SC;40,040278;18,447222;19;70;1,92
SC4a;Porites;SC;40,040278;18,447222;19;70;2,5
SC4a;Porites;SC;40,040278;18,447222;19;70;2,07
SC4a;Porites;SC;40,040278;18,447222;19;70;2,78
SC4a;Porites;SC;40,040278;18,447222;19;70;2,45
SC4b;Porites;SC;40,040278;18,447222;19;70;3,12
SC4b;Porites;SC;40,040278;18,447222;19;70;3,2
SC4b;Porites;SC;40,040278;18,447222;19;70;3,21
SC4b;Porites;SC;40,040278;18,447222;19;70;3,72
SC4b;Porites;SC;40,040278;18,447222;19;70;2,1
SC4b;Porites;SC;40,040278;18,447222;19;70;3,39
SC4b;Porites;SC;40,040278;18,447222;19;70;2,85
SC4b;Porites;SC;40,040278;18,447222;19;70;2,94
SC4b;Porites;SC;40,040278;18,447222;19;70;2,26
SC4b;Porites;SC;40,040278;18,447222;19;70;3,09
SC4b;Porites;SC;40,040278;18,447222;19;70;2,72
SC4b;Porites;SC;40,040278;18,447222;19;70;2,15
SC4b;Porites;SC;40,040278;18,447222;19;70;3,03
SC5a;Porites;SC;40,038889;18,443056;60;130;4,33
SC5a;Porites;SC;40,038889;18,443056;60;130;4,59
SC5a;Porites;SC;40,038889;18,443056;60;130;4,79
SC5a;Porites;SC;40,038889;18,443056;60;130;10,12
SC5a;Porites;SC;40,038889;18,443056;60;130;10,73
SC5a;Porites;SC;40,038889;18,443056;60;130;12,45
SC5a;Porites;SC;40,038889;18,443056;60;130;7,66
SC5a;Porites;SC;40,038889;18,443056;60;130;7,5
SC5a;Porites;SC;40,038889;18,443056;60;130;6,53
SC5a;Porites;SC;40,038889;18,443056;60;130;5,25
SC5a;Porites;SC;40,038889;18,443056;60;130;5,66
SC5a;Porites;SC;40,038889;18,443056;60;130;8,74
SC5a;Porites;SC;40,038889;18,443056;60;130;6,83
SC5a;Porites;SC;40,038889;18,443056;60;130;7,52
SC5a;Porites;SC;40,038889;18,443056;60;130;8,41
SC5a;Porites;SC;40,038889;18,443056;60;130;6,6
SC5a;Porites;SC;40,038889;18,443056;60;130;3,01
SC5a;Porites;SC;40,038889;18,443056;60;130;4,88
SC5a;Porites;SC;40,038889;18,443056;60;130;5,88
SC5a;Porites;SC;40,038889;18,443056;60;130;7,09
SC5a;Porites;SC;40,038889;18,443056;60;130;4,84
SC5a;Porites;SC;40,038889;18,443056;60;130;4,7
SC5a;Porites;SC;40,038889;18,443056;60;130;4,82
SC5a;Porites;SC;40,038889;18,443056;60;130;4,59
SC5a;Porites;SC;40,038889;18,443056;60;130;3,23
