ct.growthrate.species.name;ct.growthrate,trait,name;ct.growthrate.value;;;
Porites lobata;Growth rate;7,33;;;
Porites lobata;Growth rate;7,93;;;
Porites lobata;Growth rate;9,36;;;
Porites lobata;Growth rate;8,14;;;
Porites lobata;Growth rate;8,14;;;
Porites lobata;Growth rate;12,1;;;
Porites lobata;Growth rate;16,1;;;
Porites lobata;Growth rate;15,4;;;
Porites lobata;Growth rate;13,5;;;
Porites lobata;Growth rate;16;;;
Porites lobata;Growth rate;13,7;;;
Porites lobata;Growth rate;16,2;;;
Porites lobata;Growth rate;14;;;
Porites lobata;Growth rate;14;;;
Porites lobata;Growth rate;16,3;;;
Porites lobata;Growth rate;16;;;
Porites lobata;Growth rate;11,7;;;
Porites lobata;Growth rate;13,5;;;
Porites lobata;Growth rate;13,8;;;
Porites lobata;Growth rate;15,3;;;
Porites lobata;Growth rate;11,7;;;
Porites lobata;Growth rate;10,5;;;
Porites lobata;Growth rate;8,4;;;
Porites lobata;Growth rate;7,5;;;
Porites lobata;Growth rate;4,5;;;
Porites lobata;Growth rate;6,78;;;
Porites lobata;Growth rate;7,384;;;
Porites lobata;Growth rate;4,625;;;
Porites lobata;Growth rate;4,805;;;
Porites lobata;Growth rate;3,423;;;
Porites lobata;Growth rate;3,4;;;
Porites lobata;Growth rate;4,9;;;
Porites lobata;Growth rate;0,6;;;
Porites lobata;Growth rate;1;;;
Porites lobata;Growth rate;1,8;;;
Porites lobata;Growth rate;2,1;;;
Porites lobata;Growth rate;1,6;;;
Porites lobata;Growth rate;1,3;;;
Porites lobata;Growth rate;8;;;
Porites lobata;Growth rate;9;;;
Porites lobata;Growth rate;19;;;
Porites lobata;Growth rate;14,8;;;
Porites lobata;Growth rate;7,6;;;
Porites lobata;Growth rate;10,4;;;
Porites lobata;Growth rate;18,8;;;
Porites lobata;Growth rate;9,9;;;
Porites lobata;Growth rate;10,7;;;
Porites lobata;Growth rate;13,3;;;
Porites lobata;Growth rate;3;;;
Porites lobata;Growth rate;13;;;
Porites lobata;Growth rate;7,1;;;
Porites lobata;Growth rate;10,1;;;
Porites lobata;Growth rate;7,1;;;
Porites lobata;Growth rate;5,3;;;
Porites lobata;Growth rate;3,02;;;
Porites lobata;Growth rate;8,02;;;
Porites lobata;Growth rate;10,81;;;
Porites lobata;Growth rate;11,57;;;
Porites lobata;Growth rate;11,6;;;
Porites lobata;Growth rate;13,49;;;
Porites lobata;Growth rate;13;;;
Porites lutea;Growth rate;13,5;;;
Porites lutea;Growth rate;6,5;;;
Porites lutea;Growth rate;11;;;
Porites lutea;Growth rate;5;;;
Porites lutea;Growth rate;5;;;
Porites lutea;Growth rate;11,63;;;
Porites lutea;Growth rate;5,58;;;
Porites lutea;Growth rate;3,6;;;
Porites lutea;Growth rate;9,8;;;
Porites lutea;Growth rate;5,1;;;
Porites lutea;Growth rate;21,6;;;
Porites lutea;Growth rate;12,9;;;
Porites lutea;Growth rate;10,3;;;
Porites lutea;Growth rate;10,7;;;
Porites lutea;Growth rate;11,07;;;
Porites lutea;Growth rate;11,445;;;
Porites lutea;Growth rate;7,6;;;
Porites lutea;Growth rate;3,98;;;
Porites lutea;Growth rate;10,04;;;
Porites lutea;Growth rate;15,26;;;
Porites lutea;Growth rate;23,02;;;
Porites lutea;Growth rate;22,52;;;
Porites lutea;Growth rate;22,13;;;
Porites lutea;Growth rate;23,76;;;
Porites lutea;Growth rate;21,83;;;
Porites lutea;Growth rate;18,27;;;
Porites lutea;Growth rate;23,91;;;
Porites lutea;Growth rate;18,76;;;
Porites lutea;Growth rate;20,5;;;
Porites lutea;Growth rate;16,73;;;
Porites lutea;Growth rate;14,16;;;
Porites lutea;Growth rate;5,66;;;
Porites lutea;Growth rate;3;;;
Porites lutea;Growth rate;19,21;;;
Porites lutea;Growth rate;17,08;;;
Porites lutea;Growth rate;16,83;;;
Porites lutea;Growth rate;21,59;;;
Porites lutea;Growth rate;15,31;;;
Porites lutea;Growth rate;16,1;;;
Porites lutea;Growth rate;19,11;;;
Porites lutea;Growth rate;15,42;;;
Porites lutea;Growth rate;15,2;;;
Porites lutea;Growth rate;15;;;
Porites lutea;Growth rate;12;;;
Porites lutea;Growth rate;14;;;
Porites lutea;Growth rate;8,4;;;
Porites lutea;Growth rate;3;;;
Porites lutea;Growth rate;22,5;;;
Porites lutea;Growth rate;21,9;;;
Porites lutea;Growth rate;20,9;;;
Porites lutea;Growth rate;23,2;;;
Porites lutea;Growth rate;21,9;;;
Porites lutea;Growth rate;18;;;
Porites lutea;Growth rate;23,2;;;
Porites lutea;Growth rate;18,4;;;
Porites lutea;Growth rate;20,2;;;
Porites lutea;Growth rate;16,3;;;
Porites lutea;Growth rate;13,7;;;
Porites lutea;Growth rate;17,7;;;
Porites lutea;Growth rate;11,6;;;
Porites lutea;Growth rate;7,8;;;
Porites lutea;Growth rate;9,76;;;
Porites lutea;Growth rate;7;;;
Porites lutea;Growth rate;15,4;;;
Porites lutea;Growth rate;18,4;;;
Porites lutea;Growth rate;20;;;
Porites lutea;Growth rate;10,5;;;
Porites lutea;Growth rate;11,3;;;
Porites lutea;Growth rate;17,73;;;
Porites lutea;Growth rate;13;;;
Porites mayeri;Growth rate;13;;;
Porites nigrescens;Growth rate;17,8;;;
Porites nodifera;Growth rate;11,2;;;
Porites porites;Growth rate;5;;;
Porites porites;Growth rate;5;;;
Porites porites;Growth rate;20;;;
Porites porites;Growth rate;20;;;
Porites porites;Growth rate;35,75;;;
Porites porites;Growth rate;21,83;;;
Porites porites;Growth rate;13,3;;;
Porites porites;Growth rate;14,15;;;
Porites rus;Growth rate;2,095;;;
Porites rus;Growth rate;1,274;;;
Porites rus;Growth rate;0,441;;;
Porites solida;Growth rate;8,7;;;
Porites solida;Growth rate;15,4;;;
Porites solida;Growth rate;18;;;
Porites solida;Growth rate;18;;;
Porites solida;Growth rate;7,2;;;
Siderastrea radians;Growth rate;3,25;;;
Siderastrea siderea;Growth rate;10;;;
Siderastrea siderea;Growth rate;10;;;
Siderastrea siderea;Growth rate;20;;;
Siderastrea siderea;Growth rate;20;;;
Siderastrea siderea;Growth rate;20;;;
Siderastrea siderea;Growth rate;30;;;
Siderastrea siderea;Growth rate;7,7;;;
Siderastrea siderea;Growth rate;8;;;
Siderastrea siderea;Growth rate;7,5;;;
Siderastrea siderea;Growth rate;7,5;;;
Siderastrea siderea;Growth rate;7,7;;;
Siderastrea siderea;Growth rate;7,5;;;
Siderastrea siderea;Growth rate;7,3;;;
Siderastrea siderea;Growth rate;7;;;
Siderastrea siderea;Growth rate;7,1;;;
Siderastrea siderea;Growth rate;7,2;;;
Siderastrea siderea;Growth rate;7,1;;;
Siderastrea siderea;Growth rate;7,5;;;
Siderastrea siderea;Growth rate;7,6;;;
Siderastrea siderea;Growth rate;7,8;;;
Siderastrea siderea;Growth rate;7,5;;;
Siderastrea siderea;Growth rate;1,5;;;
Siderastrea siderea;Growth rate;2,6;;;
Siderastrea siderea;Growth rate;2,5;;;
Siderastrea siderea;Growth rate;2,3;;;
Siderastrea siderea;Growth rate;3,1;;;
Siderastrea siderea;Growth rate;5,4;;;
Siderastrea siderea;Growth rate;7,47;;;
Siderastrea siderea;Growth rate;4,7;;;
Siderastrea siderea;Growth rate;4,02;;;
Siderastrea siderea;Growth rate;4,1;;;
Siderastrea siderea;Growth rate;4,8;;;
Siderastrea siderea;Growth rate;1,9;;;
Stylophora danae;Growth rate;12;;;
Stylophora pistillata;Growth rate;33,5;;;
Stylophora pistillata;Growth rate;34,8;;;
